"";"GSM1720834_ControlQuad2.CEL";"GSM1720833_ControlQuad1.CEL";"GSM1720837_ControlQuad5.CEL";"GSM1720835_ControlQuad3.CEL";"GSM1720840_cKOQuad2.CEL";"GSM1720844_cKOQuad6.CEL";"GSM1720839_cKOQuad1.CEL";"GSM1720842_cKOQuad4.CEL"
"10344175";2,68448148809487;3,25454046608334;2,1620139561153;2,86188559727679;4,53607391059077;4,93435203514805;5,49284973937297;4,85281204995975
"10346250";8,94334711988887;7,39957832218836;8,96206621102024;9,18528995271633;5,35373640415721;5,18251137406303;6,14969773491967;6,14013650082652
"10347398";8,52534379683181;8,32408398520402;9,05860376752197;8,44619327425662;6,11225260673969;6,22527035798041;6,71564286504684;7,18370925765075
"10349174";4,59387150656001;4,25680660637014;3,90338228297639;4,78014925029106;6,67970175067251;6,19329925844417;6,27978415154851;6,62216781180662
"10349993";6,23909754570467;6,29500722822765;6,11108348682521;5,98483256844559;8,47200749223314;8,58122270040513;8,84482218311487;8,37354998782797
"10350149";7,90599042661661;9,36055519422416;7,61009655823338;7,71604004053539;10,7210315018661;11,0611605100033;10,5712796805715;10,7507987554472
"10350473";5,60330106084621;6,92069635898827;6,00216708761898;6,36799814533832;8,81814487076663;8,92741083061042;8,54826886813574;8,93114048231179
"10354299";5,9887125798278;4,1680253380286;5,76739704309589;6,42391737647552;2,88869922720522;2,96106684356618;4,17141486995959;4,18264452260231
"10357436";4,63544922266112;4,49087463884493;4,02954798306255;4,65369088016947;6,62619863117796;6,37212954239827;7,11783832567234;6,7645252854173
"10359644";7,15328185792571;5,26698774171404;5,60923672438734;6,69914471083751;3,74081121241871;4,1861485078252;3,7774386066546;3,56746541972593
"10361007";9,45172802012577;8,61796225670087;9,1227451558533;9,19756461381188;6,83129950363048;7,24347296914483;6,84363696203079;7,09494433914493
"10361055";4,31810140643883;4,62308637569237;5,15823928935083;4,93282684287204;7,53954792020846;7,14785168076214;7,39291514500203;7,35452757697291
"10361091";7,95986734253204;7,55148914819133;7,50713776900832;7,30242664383939;10,193591328601;9,26308548637488;10,660200122947;9,42395184407622
"10363541";5,36046515601411;4,89871754025417;4,91703640318164;4,87612529186226;7,60972178503159;8,11445644782512;7,41863725644643;7,5330331907929
"10368670";11,3014139282879;10,2570497439781;11,0380904582414;11,3053270021173;8,71848754365841;8,1633032439866;8,952859509441;8,83215686864182
"10368748";11,2570161654283;10,2621863876402;11,0224146867093;11,2893388095453;8,7443127559827;8,2012904923134;8,98551139481243;8,90262999234159
"10370603";6,45522536930143;4,46909421875941;4,80796426523511;7,01997101142095;3,5403158619809;3,87714631561205;3,66442131874828;3,62945057258405
"10373400";6,03125394942757;5,8110447019375;5,8959854973124;6,03349193538071;8,71152542581597;9,0117389814137;8,53760908325775;8,81974895092396
"10375259";2,5187973309922;2,79578134446819;3,0591303023885;2,43231544917242;5,9520148887197;4,78153666029404;5,47585426708349;4,28885030590071
"10376765";5,71452525593303;4,43064888975154;4,12448813892634;4,2413076905716;8,77233063525285;8,60697198391832;8,84509729594075;8,50705852276688
"10377018";7,41373694733039;5,94508490580839;4,58498276280488;5,34395494612818;11,030740475754;11,7896835883491;10,9586731056612;10,9053854573553
